"Year","GEO","Class of electricity producer","Type of electricity generation","UOM","VALUE","lastmonth"
2009,"Ontario","Total all classes of electricity producer","Other types of electricity generation","Megawatt hours",NA,9
2009,"Ontario","Total all classes of electricity producer","Solar","Megawatt hours",NA,9
2009,"Ontario","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours",143918325,9
2009,"Ontario","Total all classes of electricity producer","Wind power turbine","Megawatt hours",455451,9
2009,"Prince Edward Island","Electricity producers, electric utilities","Combustion turbine","Megawatt hours",-212,9
2009,"Prince Edward Island","Electricity producers, electric utilities","Conventional steam turbine","Megawatt hours",423,9
2009,"Prince Edward Island","Electricity producers, electric utilities","Internal combustion turbine","Megawatt hours",77,9
2009,"Prince Edward Island","Electricity producers, electric utilities","Total all types of electricity generation","Megawatt hours",119676,9
2009,"Prince Edward Island","Electricity producers, electric utilities","Wind power turbine","Megawatt hours",119388,9
2009,"Prince Edward Island","Total all classes of electricity producer","Combustion turbine","Megawatt hours",-212,9
2009,"Prince Edward Island","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours",423,9
2009,"Prince Edward Island","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours",77,9
2009,"Prince Edward Island","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours",119676,9
2009,"Prince Edward Island","Total all classes of electricity producer","Wind power turbine","Megawatt hours",119388,9
2009,"Quebec","Electricity producers, electric utilities","Combustion turbine","Megawatt hours",207235,9
2009,"Quebec","Electricity producers, electric utilities","Conventional steam turbine","Megawatt hours",824384,9
2009,"Quebec","Electricity producers, electric utilities","Hydraulic turbine","Megawatt hours",168554619,9
2009,"Quebec","Electricity producers, electric utilities","Internal combustion turbine","Megawatt hours",273128,9
2009,"Quebec","Electricity producers, electric utilities","Nuclear steam turbine","Megawatt hours",3596279,9
2009,"Quebec","Electricity producers, electric utilities","Total all types of electricity generation","Megawatt hours",173833768,9
2009,"Quebec","Electricity producers, electric utilities","Wind power turbine","Megawatt hours",378123,9
2009,"Quebec","Electricity producers, industries","Conventional steam turbine","Megawatt hours",477291,9
2009,"Quebec","Electricity producers, industries","Hydraulic turbine","Megawatt hours",19310318,9
2009,"Quebec","Electricity producers, industries","Internal combustion turbine","Megawatt hours",0,9
2009,"Quebec","Electricity producers, industries","Total all types of electricity generation","Megawatt hours",19787609,9
2009,"Quebec","Total all classes of electricity producer","Combustion turbine","Megawatt hours",207235,9
2009,"Quebec","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours",1301675,9
2009,"Quebec","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours",187864937,9
2009,"Quebec","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours",273128,9
2009,"Quebec","Total all classes of electricity producer","Nuclear steam turbine","Megawatt hours",3596279,9
2009,"Quebec","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours",193621377,9
2009,"Quebec","Total all classes of electricity producer","Wind power turbine","Megawatt hours",378123,9
2009,"Saskatchewan","Electricity producers, electric utilities","Combustion turbine","Megawatt hours",1329659,9
2009,"Saskatchewan","Electricity producers, electric utilities","Conventional steam turbine","Megawatt hours",16316536,9
2009,"Saskatchewan","Electricity producers, electric utilities","Hydraulic turbine","Megawatt hours",2961924,9
2009,"Saskatchewan","Electricity producers, electric utilities","Internal combustion turbine","Megawatt hours",539,9
2009,"Saskatchewan","Electricity producers, electric utilities","Other types of electricity generation","Megawatt hours",NA,9
2009,"Saskatchewan","Electricity producers, electric utilities","Total all types of electricity generation","Megawatt hours",21185457,9
2009,"Saskatchewan","Electricity producers, electric utilities","Wind power turbine","Megawatt hours",576799,9
2009,"Saskatchewan","Electricity producers, industries","Conventional steam turbine","Megawatt hours",176289,9
2009,"Saskatchewan","Electricity producers, industries","Hydraulic turbine","Megawatt hours",0,9
2009,"Saskatchewan","Electricity producers, industries","Internal combustion turbine","Megawatt hours",0,9
2009,"Saskatchewan","Electricity producers, industries","Total all types of electricity generation","Megawatt hours",176289,9
2009,"Saskatchewan","Total all classes of electricity producer","Combustion turbine","Megawatt hours",1329659,9
2009,"Saskatchewan","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours",16492825,9
2009,"Saskatchewan","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours",2961924,9
2009,"Saskatchewan","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours",539,9
2009,"Saskatchewan","Total all classes of electricity producer","Other types of electricity generation","Megawatt hours",NA,9
2009,"Saskatchewan","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours",21361746,9
2009,"Saskatchewan","Total all classes of electricity producer","Wind power turbine","Megawatt hours",576799,9
2009,"Yukon","Electricity producers, electric utilities","Hydraulic turbine","Megawatt hours",381568,9
2009,"Yukon","Electricity producers, electric utilities","Internal combustion turbine","Megawatt hours",22604,9
2009,"Yukon","Electricity producers, electric utilities","Total all types of electricity generation","Megawatt hours",404411,9
2009,"Yukon","Electricity producers, electric utilities","Wind power turbine","Megawatt hours",239,9
2009,"Yukon","Electricity producers, industries","Internal combustion turbine","Megawatt hours",0,9
2009,"Yukon","Electricity producers, industries","Total all types of electricity generation","Megawatt hours",0,9
2009,"Yukon","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours",381568,9
2009,"Yukon","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours",22604,9
2009,"Yukon","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours",404411,9
2009,"Yukon","Total all classes of electricity producer","Wind power turbine","Megawatt hours",239,9
2010,"Alberta","Electricity producers, electric utilities","Combustion turbine","Megawatt hours",7425000,9
2010,"Alberta","Electricity producers, electric utilities","Conventional steam turbine","Megawatt hours",45596505,9
2010,"Alberta","Electricity producers, electric utilities","Hydraulic turbine","Megawatt hours",1558342,9
2010,"Alberta","Electricity producers, electric utilities","Internal combustion turbine","Megawatt hours",84484,9
2010,"Alberta","Electricity producers, electric utilities","Other types of electricity generation","Megawatt hours",NA,9
2010,"Alberta","Electricity producers, electric utilities","Total all types of electricity generation","Megawatt hours",55352132,9
2010,"Alberta","Electricity producers, electric utilities","Wind power turbine","Megawatt hours",687801,9
2010,"Alberta","Electricity producers, industries","Combustion turbine","Megawatt hours",2659503,9
2010,"Alberta","Electricity producers, industries","Conventional steam turbine","Megawatt hours",3280046,9
2010,"Alberta","Electricity producers, industries","Internal combustion turbine","Megawatt hours",435,9
2010,"Alberta","Electricity producers, industries","Total all types of electricity generation","Megawatt hours",5939984,9
2010,"Alberta","Total all classes of electricity producer","Combustion turbine","Megawatt hours",10084503,9
2010,"Alberta","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours",48876551,9
2010,"Alberta","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours",1558342,9
2010,"Alberta","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours",84919,9
2010,"Alberta","Total all classes of electricity producer","Other types of electricity generation","Megawatt hours",NA,9
2010,"Alberta","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours",61292116,9
2010,"Alberta","Total all classes of electricity producer","Wind power turbine","Megawatt hours",687801,9
2010,"British Columbia","Electricity producers, electric utilities","Combustion turbine","Megawatt hours",2278531,9
2010,"British Columbia","Electricity producers, electric utilities","Conventional steam turbine","Megawatt hours",1285668,9
2010,"British Columbia","Electricity producers, electric utilities","Hydraulic turbine","Megawatt hours",43185868,9
2010,"British Columbia","Electricity producers, electric utilities","Internal combustion turbine","Megawatt hours",60716,9
2010,"British Columbia","Electricity producers, electric utilities","Total all types of electricity generation","Megawatt hours",46810783,9
2010,"British Columbia","Electricity producers, industries","Combustion turbine","Megawatt hours",0,9
2010,"British Columbia","Electricity producers, industries","Conventional steam turbine","Megawatt hours",3088631,9
2010,"British Columbia","Electricity producers, industries","Hydraulic turbine","Megawatt hours",9576399,9
2010,"British Columbia","Electricity producers, industries","Internal combustion turbine","Megawatt hours",1342,9
2010,"British Columbia","Electricity producers, industries","Total all types of electricity generation","Megawatt hours",12666372,9
2010,"British Columbia","Total all classes of electricity producer","Combustion turbine","Megawatt hours",2278531,9
2010,"British Columbia","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours",4374299,9
2010,"British Columbia","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours",52762267,9
2010,"British Columbia","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours",62058,9
2010,"British Columbia","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours",59477155,9
2010,"Canada","Electricity producers, electric utilities","Combustion turbine","Megawatt hours",21549482,9
2010,"Canada","Electricity producers, electric utilities","Conventional steam turbine","Megawatt hours",95419809,9
2010,"Canada","Electricity producers, electric utilities","Hydraulic turbine","Megawatt hours",320946009,9
2010,"Canada","Electricity producers, electric utilities","Internal combustion turbine","Megawatt hours",762469,9
2010,"Canada","Electricity producers, electric utilities","Nuclear steam turbine","Megawatt hours",85219889,9
2010,"Canada","Electricity producers, electric utilities","Other types of electricity generation","Megawatt hours",NA,9
2010,"Canada","Electricity producers, electric utilities","Solar","Megawatt hours",0,9
2010,"Canada","Electricity producers, electric utilities","Tidal power turbine","Megawatt hours",27680,9
2010,"Canada","Electricity producers, electric utilities","Total all types of electricity generation","Megawatt hours",527591063,9
2010,"Canada","Electricity producers, electric utilities","Wind power turbine","Megawatt hours",3665725,9
2010,"Canada","Electricity producers, industries","Combustion turbine","Megawatt hours",3614839,9
2010,"Canada","Electricity producers, industries","Conventional steam turbine","Megawatt hours",8771024,9
2010,"Canada","Electricity producers, industries","Hydraulic turbine","Megawatt hours",26471839,9
2010,"Canada","Electricity producers, industries","Internal combustion turbine","Megawatt hours",310922,9
2010,"Canada","Electricity producers, industries","Total all types of electricity generation","Megawatt hours",39168624,9
2010,"Canada","Electricity producers, industries","Wind power turbine","Megawatt hours",NA,9
2010,"Canada","Total all classes of electricity producer","Combustion turbine","Megawatt hours",25164321,9
2010,"Canada","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours",104190833,9
2010,"Canada","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours",347417848,9
2010,"Canada","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours",1073391,9
2010,"Canada","Total all classes of electricity producer","Nuclear steam turbine","Megawatt hours",85219889,9
2010,"Canada","Total all classes of electricity producer","Other types of electricity generation","Megawatt hours",NA,9
2010,"Canada","Total all classes of electricity producer","Solar","Megawatt hours",0,9
2010,"Canada","Total all classes of electricity producer","Tidal power turbine","Megawatt hours",27680,9
2010,"Canada","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours",566759687,9
2010,"Canada","Total all classes of electricity producer","Wind power turbine","Megawatt hours",3665725,9
2010,"Manitoba","Electricity producers, electric utilities","Combustion turbine","Megawatt hours",8642,9
2010,"Manitoba","Electricity producers, electric utilities","Conventional steam turbine","Megawatt hours",61315,9
2010,"Manitoba","Electricity producers, electric utilities","Hydraulic turbine","Megawatt hours",33269121,9
2010,"Manitoba","Electricity producers, electric utilities","Internal combustion turbine","Megawatt hours",13202,9
2010,"Manitoba","Electricity producers, electric utilities","Total all types of electricity generation","Megawatt hours",33352280,9
2010,"Manitoba","Electricity producers, electric utilities","Wind power turbine","Megawatt hours",0,9
2010,"Manitoba","Electricity producers, industries","Conventional steam turbine","Megawatt hours",90554,9
2010,"Manitoba","Electricity producers, industries","Internal combustion turbine","Megawatt hours",0,9
2010,"Manitoba","Electricity producers, industries","Total all types of electricity generation","Megawatt hours",90554,9
2010,"Manitoba","Total all classes of electricity producer","Combustion turbine","Megawatt hours",8642,9
2010,"Manitoba","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours",151869,9
2010,"Manitoba","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours",33269121,9
2010,"Manitoba","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours",13202,9
2010,"Manitoba","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours",33442834,9
2010,"Manitoba","Total all classes of electricity producer","Wind power turbine","Megawatt hours",0,9
2010,"New Brunswick","Electricity producers, electric utilities","Combustion turbine","Megawatt hours",1934079,9
2010,"New Brunswick","Electricity producers, electric utilities","Conventional steam turbine","Megawatt hours",5008712,9
2010,"New Brunswick","Electricity producers, electric utilities","Hydraulic turbine","Megawatt hours",3296460,9
2010,"New Brunswick","Electricity producers, electric utilities","Internal combustion turbine","Megawatt hours",-1,9
2010,"New Brunswick","Electricity producers, electric utilities","Nuclear steam turbine","Megawatt hours",-44907,9
2010,"New Brunswick","Electricity producers, electric utilities","Total all types of electricity generation","Megawatt hours",10512288,9
2010,"New Brunswick","Electricity producers, electric utilities","Wind power turbine","Megawatt hours",317945,9
2010,"New Brunswick","Electricity producers, industries","Combustion turbine","Megawatt hours",0,9
2010,"New Brunswick","Electricity producers, industries","Conventional steam turbine","Megawatt hours",561125,9
2010,"New Brunswick","Electricity producers, industries","Hydraulic turbine","Megawatt hours",0,9
2010,"New Brunswick","Electricity producers, industries","Total all types of electricity generation","Megawatt hours",561125,9
2010,"New Brunswick","Total all classes of electricity producer","Combustion turbine","Megawatt hours",1934079,9
2010,"New Brunswick","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours",5569837,9
2010,"New Brunswick","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours",3296460,9
2010,"New Brunswick","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours",-1,9
2010,"New Brunswick","Total all classes of electricity producer","Nuclear steam turbine","Megawatt hours",-44907,9
2010,"New Brunswick","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours",11073413,9
2010,"New Brunswick","Total all classes of electricity producer","Wind power turbine","Megawatt hours",317945,9
2010,"Newfoundland and Labrador","Electricity producers, electric utilities","Combustion turbine","Megawatt hours",3512,9
2010,"Newfoundland and Labrador","Electricity producers, electric utilities","Conventional steam turbine","Megawatt hours",803069,9
2010,"Newfoundland and Labrador","Electricity producers, electric utilities","Hydraulic turbine","Megawatt hours",39618254,9
2010,"Newfoundland and Labrador","Electricity producers, electric utilities","Internal combustion turbine","Megawatt hours",51679,9
2010,"Newfoundland and Labrador","Electricity producers, electric utilities","Total all types of electricity generation","Megawatt hours",40476514,9
2010,"Newfoundland and Labrador","Electricity producers, electric utilities","Wind power turbine","Megawatt hours",0,9
2010,"Newfoundland and Labrador","Electricity producers, industries","Combustion turbine","Megawatt hours",284560,9
2010,"Newfoundland and Labrador","Electricity producers, industries","Conventional steam turbine","Megawatt hours",0,9
2010,"Newfoundland and Labrador","Electricity producers, industries","Hydraulic turbine","Megawatt hours",0,9
2010,"Newfoundland and Labrador","Electricity producers, industries","Internal combustion turbine","Megawatt hours",0,9
2010,"Newfoundland and Labrador","Electricity producers, industries","Total all types of electricity generation","Megawatt hours",284560,9
2010,"Newfoundland and Labrador","Total all classes of electricity producer","Combustion turbine","Megawatt hours",288072,9
2010,"Newfoundland and Labrador","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours",803069,9
2010,"Newfoundland and Labrador","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours",39618254,9
2010,"Newfoundland and Labrador","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours",51679,9
2010,"Newfoundland and Labrador","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours",40761074,9
2010,"Newfoundland and Labrador","Total all classes of electricity producer","Wind power turbine","Megawatt hours",0,9
2010,"Northwest Territories","Electricity producers, electric utilities","Combustion turbine","Megawatt hours",26400,9
2010,"Northwest Territories","Electricity producers, electric utilities","Hydraulic turbine","Megawatt hours",228792,9
2010,"Northwest Territories","Electricity producers, electric utilities","Internal combustion turbine","Megawatt hours",53862,9
2010,"Northwest Territories","Electricity producers, electric utilities","Total all types of electricity generation","Megawatt hours",309054,9
2010,"Northwest Territories","Electricity producers, industries","Combustion turbine","Megawatt hours",104476,9
2010,"Northwest Territories","Electricity producers, industries","Hydraulic turbine","Megawatt hours",0,9
2010,"Northwest Territories","Electricity producers, industries","Internal combustion turbine","Megawatt hours",309145,9
2010,"Northwest Territories","Electricity producers, industries","Total all types of electricity generation","Megawatt hours",413621,9
2010,"Northwest Territories","Electricity producers, industries","Wind power turbine","Megawatt hours",NA,9
2010,"Northwest Territories","Total all classes of electricity producer","Combustion turbine","Megawatt hours",130876,9
2010,"Northwest Territories","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours",228792,9
2010,"Northwest Territories","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours",363007,9
2010,"Northwest Territories","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours",722675,9
2010,"Northwest Territories","Total all classes of electricity producer","Wind power turbine","Megawatt hours",NA,9
2010,"Nova Scotia","Electricity producers, electric utilities","Combustion turbine","Megawatt hours",392891,9
2010,"Nova Scotia","Electricity producers, electric utilities","Conventional steam turbine","Megawatt hours",9910987,9
2010,"Nova Scotia","Electricity producers, electric utilities","Hydraulic turbine","Megawatt hours",964731,9
2010,"Nova Scotia","Electricity producers, electric utilities","Tidal power turbine","Megawatt hours",27680,9
2010,"Nova Scotia","Electricity producers, electric utilities","Total all types of electricity generation","Megawatt hours",11420801,9
2010,"Nova Scotia","Electricity producers, electric utilities","Wind power turbine","Megawatt hours",124512,9
2010,"Nova Scotia","Electricity producers, industries","Conventional steam turbine","Megawatt hours",204788,9
2010,"Nova Scotia","Electricity producers, industries","Hydraulic turbine","Megawatt hours",37305,9
2010,"Nova Scotia","Electricity producers, industries","Total all types of electricity generation","Megawatt hours",242093,9
2010,"Nova Scotia","Electricity producers, industries","Wind power turbine","Megawatt hours",NA,9
2010,"Nova Scotia","Total all classes of electricity producer","Combustion turbine","Megawatt hours",392891,9
2010,"Nova Scotia","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours",10115775,9
2010,"Nova Scotia","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours",1002036,9
2010,"Nova Scotia","Total all classes of electricity producer","Tidal power turbine","Megawatt hours",27680,9
2010,"Nova Scotia","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours",11662894,9
2010,"Nova Scotia","Total all classes of electricity producer","Wind power turbine","Megawatt hours",124512,9
2010,"Nunavut","Electricity producers, electric utilities","Combustion turbine","Megawatt hours",0,9
2010,"Nunavut","Electricity producers, electric utilities","Hydraulic turbine","Megawatt hours",0,9
2010,"Nunavut","Electricity producers, electric utilities","Internal combustion turbine","Megawatt hours",165369,9
2010,"Nunavut","Electricity producers, electric utilities","Total all types of electricity generation","Megawatt hours",165369,9
2010,"Nunavut","Electricity producers, industries","Combustion turbine","Megawatt hours",0,9
2010,"Nunavut","Electricity producers, industries","Hydraulic turbine","Megawatt hours",0,9
2010,"Nunavut","Electricity producers, industries","Internal combustion turbine","Megawatt hours",0,9
2010,"Nunavut","Electricity producers, industries","Total all types of electricity generation","Megawatt hours",0,9
2010,"Nunavut","Total all classes of electricity producer","Combustion turbine","Megawatt hours",0,9
2010,"Nunavut","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours",0,9
2010,"Nunavut","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours",165369,9
2010,"Nunavut","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours",165369,9
2010,"Ontario","Electricity producers, electric utilities","Combustion turbine","Megawatt hours",8004531,9
2010,"Ontario","Electricity producers, electric utilities","Conventional steam turbine","Megawatt hours",16034503,9
2010,"Ontario","Electricity producers, electric utilities","Hydraulic turbine","Megawatt hours",31771585,9
2010,"Ontario","Electricity producers, electric utilities","Internal combustion turbine","Megawatt hours",39309,9
2010,"Ontario","Electricity producers, electric utilities","Nuclear steam turbine","Megawatt hours",81973288,9
2010,"Ontario","Electricity producers, electric utilities","Other types of electricity generation","Megawatt hours",NA,9
2010,"Ontario","Electricity producers, electric utilities","Solar","Megawatt hours",0,9
2010,"Ontario","Electricity producers, electric utilities","Total all types of electricity generation","Megawatt hours",139093696,9
2010,"Ontario","Electricity producers, electric utilities","Wind power turbine","Megawatt hours",1270480,9
2010,"Ontario","Electricity producers, industries","Combustion turbine","Megawatt hours",566300,9
2010,"Ontario","Electricity producers, industries","Conventional steam turbine","Megawatt hours",783501,9
2010,"Ontario","Electricity producers, industries","Hydraulic turbine","Megawatt hours",803574,9
2010,"Ontario","Electricity producers, industries","Internal combustion turbine","Megawatt hours",0,9
2010,"Ontario","Electricity producers, industries","Total all types of electricity generation","Megawatt hours",2153375,9
2010,"Ontario","Total all classes of electricity producer","Combustion turbine","Megawatt hours",8570831,9
2010,"Ontario","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours",16818004,9
2010,"Ontario","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours",32575159,9
2010,"Ontario","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours",39309,9
2010,"Ontario","Total all classes of electricity producer","Nuclear steam turbine","Megawatt hours",81973288,9
2010,"Ontario","Total all classes of electricity producer","Other types of electricity generation","Megawatt hours",NA,9
2010,"Ontario","Total all classes of electricity producer","Solar","Megawatt hours",0,9
2010,"Ontario","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours",141247071,9
2010,"Ontario","Total all classes of electricity producer","Wind power turbine","Megawatt hours",1270480,9
2010,"Prince Edward Island","Electricity producers, electric utilities","Combustion turbine","Megawatt hours",-35,9
2010,"Prince Edward Island","Electricity producers, electric utilities","Conventional steam turbine","Megawatt hours",652,9
2010,"Prince Edward Island","Electricity producers, electric utilities","Internal combustion turbine","Megawatt hours",70,9
2010,"Prince Edward Island","Electricity producers, electric utilities","Total all types of electricity generation","Megawatt hours",354210,9
2010,"Prince Edward Island","Electricity producers, electric utilities","Wind power turbine","Megawatt hours",353523,9
2010,"Prince Edward Island","Total all classes of electricity producer","Combustion turbine","Megawatt hours",-35,9
2010,"Prince Edward Island","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours",652,9
2010,"Prince Edward Island","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours",70,9
2010,"Prince Edward Island","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours",354210,9
2010,"Prince Edward Island","Total all classes of electricity producer","Wind power turbine","Megawatt hours",353523,9
2010,"Quebec","Electricity producers, electric utilities","Combustion turbine","Megawatt hours",199355,9
2010,"Quebec","Electricity producers, electric utilities","Conventional steam turbine","Megawatt hours",594028,9
2010,"Quebec","Electricity producers, electric utilities","Hydraulic turbine","Megawatt hours",162805712,9
2010,"Quebec","Electricity producers, electric utilities","Internal combustion turbine","Megawatt hours",269648,9
2010,"Quebec","Electricity producers, electric utilities","Nuclear steam turbine","Megawatt hours",3291508,9
2010,"Quebec","Electricity producers, electric utilities","Total all types of electricity generation","Megawatt hours",167536264,9
2010,"Quebec","Electricity producers, electric utilities","Wind power turbine","Megawatt hours",376013,9
2010,"Quebec","Electricity producers, industries","Conventional steam turbine","Megawatt hours",503621,9
2010,"Quebec","Electricity producers, industries","Hydraulic turbine","Megawatt hours",16054561,9
2010,"Quebec","Electricity producers, industries","Internal combustion turbine","Megawatt hours",0,9
2010,"Quebec","Electricity producers, industries","Total all types of electricity generation","Megawatt hours",16558182,9
2010,"Quebec","Total all classes of electricity producer","Combustion turbine","Megawatt hours",199355,9
2010,"Quebec","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours",1097649,9
2010,"Quebec","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours",178860273,9
2010,"Quebec","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours",269648,9
2010,"Quebec","Total all classes of electricity producer","Nuclear steam turbine","Megawatt hours",3291508,9
2010,"Quebec","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours",184094446,9
2010,"Quebec","Total all classes of electricity producer","Wind power turbine","Megawatt hours",376013,9
2010,"Saskatchewan","Electricity producers, electric utilities","Combustion turbine","Megawatt hours",1276576,9
2010,"Saskatchewan","Electricity producers, electric utilities","Conventional steam turbine","Megawatt hours",16124370,9
2010,"Saskatchewan","Electricity producers, electric utilities","Hydraulic turbine","Megawatt hours",3866710,9
2010,"Saskatchewan","Electricity producers, electric utilities","Internal combustion turbine","Megawatt hours",510,9
2010,"Saskatchewan","Electricity producers, electric utilities","Other types of electricity generation","Megawatt hours",NA,9
2010,"Saskatchewan","Electricity producers, electric utilities","Total all types of electricity generation","Megawatt hours",21803531,9
2010,"Saskatchewan","Electricity producers, electric utilities","Wind power turbine","Megawatt hours",535365,9
2010,"Saskatchewan","Electricity producers, industries","Conventional steam turbine","Megawatt hours",258758,9
2010,"Saskatchewan","Electricity producers, industries","Hydraulic turbine","Megawatt hours",0,9
2010,"Saskatchewan","Electricity producers, industries","Internal combustion turbine","Megawatt hours",0,9
2010,"Saskatchewan","Electricity producers, industries","Total all types of electricity generation","Megawatt hours",258758,9
2010,"Saskatchewan","Total all classes of electricity producer","Combustion turbine","Megawatt hours",1276576,9
2010,"Saskatchewan","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours",16383128,9
2010,"Saskatchewan","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours",3866710,9
2010,"Saskatchewan","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours",510,9
2010,"Saskatchewan","Total all classes of electricity producer","Other types of electricity generation","Megawatt hours",NA,9
2010,"Saskatchewan","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours",22062289,9
2010,"Saskatchewan","Total all classes of electricity producer","Wind power turbine","Megawatt hours",535365,9
2010,"Yukon","Electricity producers, electric utilities","Hydraulic turbine","Megawatt hours",380434,9
2010,"Yukon","Electricity producers, electric utilities","Internal combustion turbine","Megawatt hours",23621,9
2010,"Yukon","Electricity producers, electric utilities","Total all types of electricity generation","Megawatt hours",404141,9
2010,"Yukon","Electricity producers, electric utilities","Wind power turbine","Megawatt hours",86,9
2010,"Yukon","Electricity producers, industries","Internal combustion turbine","Megawatt hours",0,9
2010,"Yukon","Electricity producers, industries","Total all types of electricity generation","Megawatt hours",0,9
2010,"Yukon","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours",380434,9
2010,"Yukon","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours",23621,9
2010,"Yukon","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours",404141,9
2010,"Yukon","Total all classes of electricity producer","Wind power turbine","Megawatt hours",86,9
2011,"Alberta","Electricity producers, electric utilities","Combustion turbine","Megawatt hours",8933532,9
2011,"Alberta","Electricity producers, electric utilities","Conventional steam turbine","Megawatt hours",40871844,9
2011,"Alberta","Electricity producers, electric utilities","Hydraulic turbine","Megawatt hours",2045033,9
2011,"Alberta","Electricity producers, electric utilities","Internal combustion turbine","Megawatt hours",51836,9
2011,"Alberta","Electricity producers, electric utilities","Other types of electricity generation","Megawatt hours",NA,9
2011,"Alberta","Electricity producers, electric utilities","Total all types of electricity generation","Megawatt hours",54599645,9
2011,"Alberta","Electricity producers, electric utilities","Wind power turbine","Megawatt hours",2697400,9
2011,"Alberta","Electricity producers, industries","Combustion turbine","Megawatt hours",2741373,9
2011,"Alberta","Electricity producers, industries","Conventional steam turbine","Megawatt hours",3359400,9
2011,"Alberta","Electricity producers, industries","Internal combustion turbine","Megawatt hours",NA,9
2011,"Alberta","Electricity producers, industries","Total all types of electricity generation","Megawatt hours",6128188,9
2011,"Alberta","Total all classes of electricity producer","Combustion turbine","Megawatt hours",11674905,9
2011,"Alberta","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours",44231244,9
2011,"Alberta","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours",2048170,9
2011,"Alberta","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours",76114,9
2011,"Alberta","Total all classes of electricity producer","Other types of electricity generation","Megawatt hours",NA,9
2011,"Alberta","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours",60727833,9
2011,"Alberta","Total all classes of electricity producer","Wind power turbine","Megawatt hours",2697400,9
